playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesPuntReturn,gradesKickoffKicker,gradesFgepKicker,gradesKickReturn,gradesPunter,gradesLongSnap
177496,Cooper Austin,DI,0,0,,2028,352,60,60,63.4,D99,0,0,1,1,0,0,0,0,0,0,YALE,YALE,1,,,,,,,
177501,Osize Daniyan,S,0,0,,2028,352,,60,62.4,D00,0,0,1,0,0,1,0,0,0,0,YALE,YALE,1,,,,,,,
177505,Joey Fortner,LS,0,0,,2028,352,60,64.8,63.3,S55,0,0,1,1,0,0,0,4,0,0,YALE,YALE,5,,,,,,,81
177507,Phoenix Grant,LB,0,0,,2028,352,,62.9,67.5,D08,0,0,1,0,3,1,0,0,6,0,YALE,YALE,10,59.7,,,,,,
177508,Zairion Jackson-Bass,ED,0,0,,2028,352,,61.4,65.3,D01,0,0,1,0,1,0,0,0,3,0,YALE,YALE,4,59.8,,,,,,
177510,Abu Kamara,S,0,0,,2028,352,,61.8,69.3,D04,0,0,1,0,3,3,0,4,6,0,YALE,YALE,16,60.1,,,,,,
177511,John Kemp,S,0,0,,2028,352,,61.7,67.1,D29,0,0,1,0,0,0,0,0,3,0,YALE,YALE,3,,,,,,,
177514,Spencer Mermans,TE,0,0,,2028,352,60,60,64.5,44,0,0,1,1,0,0,0,0,0,0,YALE,YALE,1,,,,,,,
177515,Jesse Schutzman,LB,0,0,,2028,352,,60,63.4,D50,0,0,1,0,0,1,0,0,0,0,YALE,YALE,1,,,,,,,
177516,Graham Smith,TE,0,0,,2028,352,60,54.8,68,09,1,0,1,1,0,1,4,4,0,1,YALE,YALE,10,,,,,,,
177518,Jaylin Tate,DI,0,0,,2028,352,60,60.9,66.2,D96,0,0,1,1,3,0,0,0,3,0,YALE,YALE,7,59.1,,,,,,
177519,Robby Tattersall,WR,0,0,,2028,352,,62.3,69.8,17,0,0,1,0,0,1,4,0,3,0,YALE,YALE,8,,,,,,,
177521,Brandon Webster,CB,0,0,,2028,352,,61.7,68.5,D07,0,0,1,0,3,0,0,0,5,0,YALE,YALE,8,60,,,,,,
177770,Emmanuel Olagbaju,DI,0,0,,2028,249,,60,61.8,D88,0,0,1,0,1,0,0,0,0,0,N DAKOTA,N DAKOTA,1,59.7,,,,,,
177849,Jaiden Hamilton,LS,0,0,,2028,219,,65.3,63.5,S56,0,0,1,0,0,0,0,5,0,0,MERCER,MERCER,5,,,,,,,82.4
178143,Kade Boyd,S,0,0,,2028,232,,62.7,69.2,D17,0,0,1,0,0,9,0,0,4,0,MONTANA,MONTANA,13,,,,,,,
178145,Elijah Brady,CB,0,0,,2028,232,,60.8,66.6,D12,0,0,1,0,0,0,0,0,4,0,MONTANA,MONTANA,4,,,,,,,
178149,Lucas Freitas,G,0,0,,2028,232,63.1,62.1,62.3,78,0,0,1,7,0,0,0,0,0,0,MONTANA,MONTANA,7,,,,,,,
178156,Clay Oven,LB,0,0,,2028,232,,61.9,66.7,D37,0,0,1,0,1,9,1,2,0,0,MONTANA,MONTANA,13,60,,,,,,
178158,Evan Shafer,TE,0,0,,2026,232,60,61.4,60.6,84,0,0,1,7,0,0,0,0,0,0,MONTANA,MONTANA,7,,,,,,,
178160,Cy Stevenson,LB,0,0,,2028,232,,61.3,68.2,D52,0,0,1,0,0,0,5,0,4,0,MONTANA,MONTANA,9,,,,,,,
178163,Aaron Austin,ED,0,0,,2026,301,,59.4,63.5,D02,0,0,1,0,5,0,0,0,0,0,STF AUSTIN,STF AUSTIN,5,59.3,,,,,,
178166,Jason Crowder,G,0,0,,2028,301,60,61.4,63.3,61,0,0,1,7,0,0,0,0,0,0,STF AUSTIN,STF AUSTIN,7,,,,,,,
178169,Elijah Fields,DI,0,0,,2028,301,60,61,67.7,D11,0,0,1,7,2,0,0,0,0,0,STF AUSTIN,STF AUSTIN,9,59.1,,,,,,
178182,Tim Muhammad,ED,0,0,,2028,301,,60,61.8,D49,0,0,1,0,1,0,0,0,0,0,STF AUSTIN,STF AUSTIN,1,59.7,,,,,,
178189,Tug Sanford,LS,1,0,,2028,301,60,76.6,63,S47,0,0,1,7,0,0,0,5,0,0,STF AUSTIN,STF AUSTIN,12,,,,,,,82.4
178318,Jeremy Caspe,TE,0,0,,2028,274,60,60.5,60.4,82,0,0,1,3,0,0,0,0,0,0,RHODE ISLD,RHODE ISLD,3,,,,,,,
178462,Kasyus Kurns,CB,0,0,,2026,401,,60.8,66.4,D02,0,0,1,0,1,0,0,0,3,0,TARLETON,TARLETON,4,60,,,,,,
180735,Eli Stader,K,0,0,,2026,292,,60,67,S26,0,0,1,3,0,4,0,0,0,0,S DAK ST,S DAK ST,7,,,64.1,61.8,,,
181250,Jy Martin,S,0,0,,2027,249,,60.1,61.6,D04,0,0,1,0,5,0,0,0,0,0,N DAKOTA,N DAKOTA,5,60.1,,,,,,
182314,Ty Rawls,S,0,0,,2026,401,,59.6,65.9,D06,0,0,1,0,1,1,0,5,0,0,TARLETON,TARLETON,7,60,,,,,,
182717,Hugo Nash,P,0,0,,2027,100,60,60.9,65.4,S33,0,0,1,6,0,0,0,4,0,0,ABILENE CH,ABILENE CH,10,,,,,,61.4,
182776,Joseph Adema,LS,0,0,,2028,322,64.9,65.1,63,S48,0,0,1,7,0,0,0,3,0,0,UC DAVIS,UC DAVIS,10,,,,,,,78.3
182866,Jacob Hand,K,0,0,,2028,301,,60,69.5,S40,0,0,1,1,0,8,0,0,0,0,STF AUSTIN,STF AUSTIN,9,,,60.5,60,,,
182880,Connor Bonesio,TE,0,0,,2027,322,60,61.3,65,15,0,0,1,7,0,0,4,0,0,0,UC DAVIS,UC DAVIS,11,,,,,,,
