playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesRun,gradesPass
184755,Johnnie Daniels,HB,0,,2027,227,47.7,70.3,83.2,59.8,47.4,68.1,20,0,12,0,40,139,108,17,304,179,125,MISS STATE,MISS STATE,74.3,
184758,Jimothy Lewis Jr.,T,0,,2029,227,,68.3,75.8,71.1,,65.3,74,0,4,0,28,0,0,24,52,28,24,MISS STATE,MISS STATE,,
184764,Michael Van Buren Jr.,QB,0,,2029,227,45.9,65.9,65,,,60,00,6,10,334,0,0,15,210,559,334,225,MISS STATE,MISS STATE,55.4,67.1
184767,Luke Work,T,1,,2029,227,,38.6,15.8,24.5,,53.3,51,5,11,0,201,0,0,131,332,201,131,MISS STATE,MISS STATE,,
184781,Greg Nunnery,T,0,,2027,296,,55.7,75.4,62.7,,50.7,56,1,12,0,330,0,0,267,597,330,267,SO MISS,SO MISS,,
184783,Jalen Washington,HB,0,,2029,296,78.5,72.1,78.3,58.1,60.5,57.8,24,0,4,0,14,24,27,13,78,38,40,SO MISS,SO MISS,73.3,
184784,John White,QB,0,,2029,296,22.3,38.9,77.5,,,60,12,0,4,43,0,0,3,35,81,43,38,SO MISS,SO MISS,27.3,51.3
184787,Daniel Evert,TE,0,,2029,306,68.5,65.1,0,60.5,72.2,51.3,84,2,9,0,7,99,1,54,161,106,55,TEMPLE,TEMPLE,57.5,
184792,Mausa Palu,G,0,,2027,306,,56.6,75.9,83,,50.7,51,0,2,0,14,0,0,10,24,14,10,TEMPLE,TEMPLE,,
184802,Ashton Funk,T,0,,2029,312,,69.3,75.1,70.7,,67.5,73,0,2,0,18,0,0,11,29,18,11,TEXAS A&M,TEXAS A&M,,
184804,Blake Ivy,G,0,,2029,312,,61,76.5,76.9,,56.3,52,0,2,0,21,0,0,10,31,21,10,TEXAS A&M,TEXAS A&M,,
184813,Izaiah Williams,WR,0,,2029,312,62.9,60.8,75,,60.7,59.3,00,0,3,0,0,14,0,10,24,14,10,TEXAS A&M,TEXAS A&M,,
184815,Nate Bennett,QB,0,,2029,118,64.4,72.6,69.5,,,60,14,0,3,2,0,0,1,5,8,2,6,BAYLOR,BAYLOR,60,71.9
184818,Jadon Porter,WR,0,,2029,118,62.9,64.4,79.4,,61,73.4,83,0,6,0,0,16,0,38,54,16,38,BAYLOR,BAYLOR,,
184822,Seth Weller,WR,0,,2027,118,,60.1,68.8,,,60,81,0,1,0,0,0,0,3,3,0,3,BAYLOR,BAYLOR,,
184824,Cooper Alexander,TE,0,,2029,193,,56.1,66.8,,,55.4,87,0,1,0,0,0,0,3,3,0,3,IOWA STATE,IOWA STATE,,
184825,Wyatt Archer,WR,0,,2028,193,,59.7,65.9,,,59.1,44,0,1,0,0,0,0,2,2,0,2,IOWA STATE,IOWA STATE,,
184832,Dylan Lee,HB,0,,2030,193,73.6,70.9,71.2,73.2,63.8,,02,0,2,0,2,3,11,0,16,5,11,IOWA STATE,IOWA STATE,69.1,
184833,Easton Miller,HB,0,,2028,193,65.5,52.1,67.1,,60,51.8,25,0,4,0,0,1,2,4,7,1,6,IOWA STATE,IOWA STATE,57.8,
184835,Connor Moberly,QB,0,,2029,193,70,61.7,75.1,,54.3,60,05,0,4,15,0,1,5,21,42,16,26,IOWA STATE,IOWA STATE,67.1,54.5
184839,Keaton Roskop,TE,0,,2029,193,,59.9,68.3,,,59.5,85,0,1,0,0,0,0,2,2,0,2,IOWA STATE,IOWA STATE,,
184848,Jay Harris,HB,0,,2027,264,73.1,71.4,71.3,,64.9,60,22,0,2,0,0,2,10,3,15,2,13,OREGON,OREGON,69,
