playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesFgepDefense,gradesPunter,gradesFgepKicker,gradesKickoffKicker,gradesPuntReturn,gradesLongSnap,gradesKickReturn
127250,RJ Maryland,TE,0,0,2026,2026,287,55.6,67,82,0,0,1,0,0,0,6,0,2,0,SMU,SMU,8,,,,,,,,
128195,Ezra Evaimalo,DI,0,0,,2026,180,61.8,65.8,D52,0,0,1,0,0,0,0,8,3,0,HAWAII,HAWAII,11,,,,,,,,
128196,Ben Falck,P,0,0,,2025,180,60,68.9,S69,0,0,1,0,0,6,0,0,0,0,HAWAII,HAWAII,6,,,,,68.5,,,
128220,Nick Barcelos,LS,0,0,,2025,239,66.2,64,S88,0,0,1,4,0,0,0,6,0,0,NEVADA,NEVADA,10,60,,,,,,82.1,
128231,Devin Gunter,CB,0,0,,2026,239,60.3,64.9,D14,0,0,1,0,0,0,6,0,0,0,NEVADA,NEVADA,6,,,,,,,,
128233,Matthew Killam,K,0,0,,2025,239,60.1,68,S18,0,0,1,4,0,6,0,0,0,0,NEVADA,NEVADA,10,,,,65,65.3,,,
128238,Tongiaki Mateialona,LB,0,0,,2025,239,60.5,63.3,D36,0,0,1,0,4,0,0,0,1,0,NEVADA,NEVADA,5,,59.9,,,,,,
128243,Frank Poso,T,0,0,,2025,239,61.2,67.2,62,0,0,1,4,0,0,0,0,0,0,NEVADA,NEVADA,4,60,,,,,,,
128248,Adam Weynand,LB,0,0,,2025,239,68.1,68.2,D56,0,0,1,0,3,0,0,0,2,0,NEVADA,NEVADA,5,,60,,,,,,
128249,Thomas Witte,DI,0,0,,2026,239,59.8,64.8,D99,0,0,1,0,3,0,0,0,1,0,NEVADA,NEVADA,4,,59.1,,,,,,
