playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesLongSnap,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesPunter,gradesKickoffKicker
157706,Simeon Harris,CB,0,0,,2028,169,60.5,67.8,D05,0,0,1,0,4,0,1,4,2,0,FRESNO ST,FRESNO ST,11,60,,,,,,,
157758,Sterling Lockett,WR,0,0,,2027,199,60,63.3,06,0,0,1,0,0,0,0,0,3,0,KANSAS ST,KANSAS ST,3,,,,,62.9,,,
157766,Drake Bequeaith,T,0,0,,2027,199,60.7,67.1,53,0,0,1,3,0,0,0,0,0,0,KANSAS ST,KANSAS ST,3,,60,,,,,,
157770,John Pastore,T,0,0,,2027,199,60.3,61.6,78,0,0,1,3,0,0,0,0,0,0,KANSAS ST,KANSAS ST,3,,60,,,,,,
157775,Uso Seumalo,DI,0,0,2026,2026,199,60.4,65.1,D99,0,0,1,3,5,0,0,4,1,0,KANSAS ST,KANSAS ST,13,59,60,,,,,,
157779,Jet Dineen,S,0,0,,2027,199,87.5,66.2,D14,0,0,1,0,0,0,5,0,3,0,KANSAS ST,KANSAS ST,8,,,,,,,,
157780,VJ Payne,S,0,0,2026,2026,199,60.6,63.2,D07,0,0,1,0,4,0,0,0,1,0,KANSAS ST,KANSAS ST,5,60,,,,,,,
157786,Tobi Osunsanmi,ED,0,0,,2027,199,60.4,64.5,D44,0,0,1,0,3,0,0,0,1,0,KANSAS ST,KANSAS ST,4,59.7,,,,,,,
157787,Zach Wittenberg,LB,0,0,,2026,199,54.6,66.4,D48,0,0,1,0,0,4,5,4,0,1,KANSAS ST,KANSAS ST,13,,,,,,,,
157790,Mason Olguin,LS,0,0,,2026,199,64.6,63.3,S16,0,0,1,0,0,0,0,4,0,0,KANSAS ST,KANSAS ST,4,,,81.4,,,,,
158056,Andre Cobb,CB,0,0,,2028,169,59.4,67,D02,0,0,1,0,0,0,0,4,0,0,FRESNO ST,FRESNO ST,4,,,,,,,,
