playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesKickReturn,gradesPuntReturn,gradesFgepOffense,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap,gradesPunter
173534,A.J. Harris,CB,0,0,,2028,266,59.8,60.8,67.5,D04,0,0,1,0,4,0,0,0,3,0,PENN STATE,PENN STATE,7,,,,,,,
175488,Ryan Barker,K,0,0,,2028,266,,60,63.3,S94,0,0,1,4,0,0,0,0,0,0,PENN STATE,PENN STATE,4,,,,63.7,,,
176177,Trevor Goosby,T,0,0,,2028,311,,60,62.1,74,0,0,1,2,0,0,0,0,0,0,TEXAS,TEXAS,2,,,60,,,,
176180,Jelani McDonald,S,0,0,,2028,311,,61.9,68.6,D25,0,0,1,0,0,3,0,5,4,0,TEXAS,TEXAS,12,,,,,,,
176181,Ryan Niblett,HB,1,0,,2028,311,,73.1,70.6,21,0,0,1,0,0,3,0,5,4,0,TEXAS,TEXAS,12,,,,,,,
176183,Ian Ratliff,P,0,0,,2028,311,,60,60.3,S49,0,0,1,2,0,0,0,0,0,0,TEXAS,TEXAS,2,,,60,,,,
176184,Warren Roberson,CB,0,0,,2028,311,59.8,71.9,68.7,D24,0,0,1,0,4,3,5,5,1,1,TEXAS,TEXAS,18,,,,,,,
176186,Spencer Shannon,TE,0,0,,2028,311,,60,60.3,83,0,0,1,2,0,0,0,0,0,0,TEXAS,TEXAS,2,,,60,,,,
176238,Joe McGuire,P,0,0,,2028,260,,60.9,66.9,S42,0,0,1,4,0,0,0,6,0,0,OHIO STATE,OHIO STATE,10,,,60,,,,68.2
183596,Antoine Belgrave-Shorter,S,0,0,,2029,266,,61.5,64.6,D23,0,0,1,0,0,5,0,0,0,0,PENN STATE,PENN STATE,5,,,,,,,
183600,Cooper Cousins,G,0,0,,2029,266,,61.5,65.1,50,0,0,1,4,0,0,0,5,0,0,PENN STATE,PENN STATE,9,,,60,,,,
183610,Jon Mitchell,CB,0,0,,2029,266,,57.2,65.3,D12,0,0,1,0,0,0,5,0,1,0,PENN STATE,PENN STATE,6,,,,,,,
183611,Luke Reynolds,TE,0,0,,2029,266,,60.4,66.3,85,0,0,1,0,0,0,4,5,0,0,PENN STATE,PENN STATE,9,,,,,,,
183702,Jaylen McClain,S,0,0,,2029,260,,62.1,67.3,D18,0,0,1,0,0,5,3,1,3,0,OHIO STATE,OHIO STATE,12,,,,,,,
183707,Payton Pierce,LB,0,0,,2029,260,,61,66,D26,0,0,1,0,0,5,3,0,0,0,OHIO STATE,OHIO STATE,8,,,,,,,
183712,Bryce West,CB,0,0,,2029,260,,60,63.7,D12,0,0,1,0,0,1,0,0,0,0,OHIO STATE,OHIO STATE,1,,,,,,,
184102,Sean Sevillano Jr.,DI,0,0,,2029,258,,60,67.5,D59,0,0,1,0,0,0,0,0,1,0,NOTRE DAME,NOTRE DAME,1,,,,,,,
184103,Loghan Thomas,ED,0,0,,2029,258,,67.2,67,D10,0,0,1,0,0,5,5,0,3,1,NOTRE DAME,NOTRE DAME,13,,,,,,,
184104,Kennedy Urlacher,S,0,0,,2029,258,,60.8,63.9,D23,0,0,1,0,0,5,0,0,0,0,NOTRE DAME,NOTRE DAME,5,,,,,,,
184105,Kyngstonn Viliamu-Asa,LB,0,0,,2028,258,60,61.7,69.7,D27,0,0,1,0,1,0,0,0,4,0,NOTRE DAME,NOTRE DAME,5,,,,,,,
184106,Joseph Vinci,LS,0,0,,2029,258,,64.6,63.3,S96,0,0,1,0,0,0,0,4,0,0,NOTRE DAME,NOTRE DAME,4,,,,,,81.4,
184109,Kedren Young,HB,0,0,,2029,258,,59.6,65,21,0,0,1,0,0,0,4,0,0,0,NOTRE DAME,NOTRE DAME,4,,,,,,,
184110,Bryce Young,ED,0,0,,2029,258,60.1,61.1,66.4,D30,0,0,1,0,4,0,0,0,4,0,NOTRE DAME,NOTRE DAME,8,,,,,,,
184502,Brandon Baker,T,0,0,,2029,311,,60.3,65.4,73,0,0,1,2,0,0,0,0,0,0,TEXAS,TEXAS,2,,,60,,,,
184503,Kobe Black,CB,0,0,,2029,311,,62.6,69.6,D06,0,0,1,0,0,3,5,1,4,0,TEXAS,TEXAS,13,,,,,,,
184511,Jordon Johnson-Rubell,S,0,0,,2029,311,,59.6,65,D23,0,0,1,0,0,0,5,0,0,0,TEXAS,TEXAS,5,,,,,,,
184516,Ty'Anthony Smith,LB,0,0,,2029,311,,63.1,70.8,D26,0,0,1,0,0,3,5,0,4,0,TEXAS,TEXAS,12,,,,,,,
184520,Ryan Wingo,WR,0,0,,2029,311,,60,64.5,05,0,0,1,0,0,0,0,1,0,0,TEXAS,TEXAS,1,,,,,,,
189881,Guerby Lambert,T,0,0,,2029,258,,61.6,62.1,76,0,0,1,5,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,5,,,60.8,,,,
189882,Leonard Moore,CB,0,0,,2029,258,59.8,60.2,65.5,D15,0,0,1,0,4,0,0,0,0,0,NOTRE DAME,NOTRE DAME,4,,,,,,,
189884,James Rendell,P,0,0,,2026,258,,60,66.8,S16,0,0,1,0,0,0,0,4,0,0,NOTRE DAME,NOTRE DAME,4,,,,,,,59
189886,Teddy Rezac,LB,0,0,,2029,258,,48.5,66.4,D35,0,0,1,0,0,5,0,0,1,0,NOTRE DAME,NOTRE DAME,6,,,,,,,
190246,Michael Kern,P,0,0,,2029,311,,60.1,67.7,S39,0,0,1,0,0,0,0,6,0,0,TEXAS,TEXAS,6,,,,,,,66.6
191336,Max Granville,ED,0,0,,2029,266,,60,63.5,D18,0,0,1,0,0,0,0,0,1,0,PENN STATE,PENN STATE,1,,,,,,,
191339,Dejuan Lane,S,0,0,,2029,266,,61.6,68.5,D10,0,0,1,0,0,5,0,0,1,0,PENN STATE,PENN STATE,6,,,,,,,
191344,Kenny Woseley Jr.,CB,0,0,,2029,266,,60,63.4,D17,0,0,1,0,0,1,0,0,0,0,PENN STATE,PENN STATE,1,,,,,,,
