playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesPass,gradesRun
162867,Carson Hinzman,C,0,,2027,260,,65.2,79.2,,66.6,75,0,1,0,38,0,0,22,60,38,22,OHIO STATE,OHIO STATE,53.1,,
163586,Isaiah Bond,WR,0,2025,2025,311,61,48.3,74.6,49.1,60.9,07,0,1,0,0,13,0,6,19,13,6,TEXAS,TEXAS,,,
163839,Kelvin Banks Jr.,T,0,2025,2025,311,,75.8,77.4,,67.4,78,0,1,0,47,0,0,24,71,47,24,TEXAS,TEXAS,86.4,,
163844,DJ Campbell,G,0,2026,2026,311,,59.7,76.9,,57.8,52,0,1,0,24,0,0,12,36,24,12,TEXAS,TEXAS,62.7,,
163867,Cameron Williams,T,0,2025,2025,311,,50.1,19.1,,62.3,56,1,1,0,47,0,0,24,71,47,24,TEXAS,TEXAS,38.4,,
164157,Drew Allar,QB,0,2026,2026,266,69.1,42.8,77.2,59.9,60.5,15,0,1,29,0,1,2,35,67,30,37,PENN STATE,PENN STATE,,36.6,65.6
164158,Kaytron Allen,HB,0,2026,2026,266,76.5,69.2,75.9,56.3,67.1,13,0,1,0,2,11,19,9,41,13,28,PENN STATE,PENN STATE,14,,70.6
164168,Omari Evans,WR,0,2026,2026,266,,53.6,76.3,52.8,60.2,05,0,1,0,0,13,0,15,28,13,15,PENN STATE,PENN STATE,,,
164174,Vega Ioane,G,0,2026,2026,266,,60.4,1,,61.4,71,1,1,0,30,0,0,37,67,30,37,PENN STATE,PENN STATE,75.6,,
164180,JB Nelson,G,0,,2026,266,,62.2,67.5,,63.1,56,0,1,0,0,0,0,2,2,0,2,PENN STATE,PENN STATE,,,
164186,Drew Shelton,T,0,2026,2026,266,,64.9,77.2,,63,66,0,1,0,30,0,0,37,67,30,37,PENN STATE,PENN STATE,64.4,,
164188,Nicholas Singleton,HB,0,2026,2026,266,75.5,63.7,0,46.6,,10,1,1,0,5,16,15,0,36,21,15,PENN STATE,PENN STATE,81.9,,68.7
170255,Brandon Inniss,WR,0,,2028,260,69.7,48.7,72.6,56.3,37.6,11,0,1,0,0,4,0,1,5,4,1,OHIO STATE,OHIO STATE,,,
170261,Luke Montgomery,G,0,,2028,260,,62.9,0,,66.3,51,1,1,0,38,0,0,22,60,38,22,OHIO STATE,OHIO STATE,70.3,,
170265,Bryson Rodgers,WR,0,,2028,260,,59.1,66.8,59.9,60,13,0,1,0,0,1,0,1,2,1,1,OHIO STATE,OHIO STATE,,,
170269,Austin Siereveld,G,0,,2028,260,,57.2,74.3,,56.8,67,1,1,0,13,0,0,4,17,13,4,OHIO STATE,OHIO STATE,54.4,,
170273,Carnell Tate,WR,0,2026,2026,260,66.7,66.8,78.6,68.2,44.3,17,0,1,0,0,33,0,15,48,33,15,OHIO STATE,OHIO STATE,,,
170274,Jelani Thurman,TE,0,,2028,260,,60,65.7,,60,15,0,1,0,0,0,0,2,2,0,2,OHIO STATE,OHIO STATE,,,
171081,Jordan Faison,WR,0,,2028,258,62.9,59.8,78.6,61.9,45.5,06,0,1,0,0,29,0,18,47,29,18,NOTRE DAME,NOTRE DAME,,,
171085,Jaden Greathouse,WR,0,,2028,258,66.7,73.7,77.7,73.9,56.8,01,0,1,0,0,35,0,30,65,35,30,NOTRE DAME,NOTRE DAME,,,
171087,Charles Jagusah,G,0,,2028,258,,65.9,78.2,,61.6,56,0,1,0,28,0,0,25,53,28,25,NOTRE DAME,NOTRE DAME,86.9,,
171090,Jeremiyah Love,HB,0,2026,2026,258,73.6,70.2,76.1,57.8,53.8,04,0,1,0,2,7,11,12,32,9,23,NOTRE DAME,NOTRE DAME,30.2,,72.9
173154,Jaydon Chatman,G,0,,2028,311,,60,63.6,,60.4,75,0,1,0,0,0,0,1,1,0,1,TEXAS,TEXAS,,,
173162,Arch Manning,QB,0,,2028,311,62.5,66.5,63.6,,,16,0,1,0,0,0,1,0,1,0,1,TEXAS,TEXAS,,,62.7
173164,DeAndre Moore Jr.,WR,0,,2028,311,65,58.7,76.6,58.5,60.7,00,0,1,0,0,32,0,13,45,32,13,TEXAS,TEXAS,,,
176190,Quintrevion Wisner,HB,0,,2028,311,75.9,68,76.8,63.5,67.8,26,0,1,0,7,25,17,3,52,32,20,TEXAS,TEXAS,27.5,,69.6
183611,Luke Reynolds,TE,0,,2029,266,61,61.9,74.1,63.3,58.1,85,0,1,0,1,11,0,7,19,12,7,PENN STATE,PENN STATE,29.9,,
183710,Jeremiah Smith,WR,0,,2029,260,62.9,55.4,78,55.3,60,04,0,1,0,0,38,0,18,56,38,18,OHIO STATE,OHIO STATE,,,
184097,Anthonie Knapp,T,0,,2029,258,,57.3,0,,64.2,54,1,1,0,6,0,0,8,14,6,8,NOTRE DAME,NOTRE DAME,80.7,,
184108,Aneyas Williams,HB,0,,2029,258,68.1,68.3,75,91.7,60,20,0,1,0,7,17,2,1,27,24,3,NOTRE DAME,NOTRE DAME,5.2,,60.6
184509,Jerrick Gibson,HB,0,,2030,311,62.5,58.6,67,59.5,,09,0,1,0,0,1,1,0,2,1,1,TEXAS,TEXAS,,,59.8
184520,Ryan Wingo,WR,0,,2029,311,64.3,54.1,78.2,51.1,68.1,05,0,1,0,0,43,1,21,65,43,22,TEXAS,TEXAS,,,63.2
71780,Ty McCullouch,WR,0,,2025,233,66,62.9,78.1,63.1,63.8,06,0,1,0,0,23,1,41,65,23,42,MONTANA ST,MONTANA ST,,,59
89376,Cole Sain,C,0,,2025,233,,71,0,,74.1,56,1,1,0,24,0,0,43,67,24,43,MONTANA ST,MONTANA ST,41.5,,
90602,JT Reed,G,0,,2026,233,,56.6,75,,54.5,55,0,1,0,7,0,0,11,18,7,11,MONTANA ST,MONTANA ST,83.9,,
99331,Marcus Hicks,T,0,,2025,292,,60,63.5,,,78,0,1,0,1,0,0,0,1,1,0,S DAK ST,S DAK ST,67.3,,
102004,Marcus Wehr,G,0,,2025,233,,86.1,79,,85.6,76,0,1,0,24,0,0,43,67,24,43,MONTANA ST,MONTANA ST,85.8,,
102509,Ryan Lonergan,TE,0,,2025,233,,58.5,75.8,49.4,64.3,87,0,1,0,5,9,0,32,46,14,32,MONTANA ST,MONTANA ST,54.7,,
103653,Kevin Brenner,TE,0,,2025,292,,59.2,75.3,55.9,59.3,44,0,1,0,1,4,0,23,28,5,23,S DAK ST,S DAK ST,67.3,,
103865,Evan Beerntsen,G,0,2026,2026,292,,57.8,79,,58.1,61,1,1,0,31,0,0,37,68,31,37,S DAK ST,S DAK ST,48.7,,
103867,Ethan Vibert,G,0,,2025,292,,51.6,80,,48.4,64,0,1,0,31,0,0,37,68,31,37,S DAK ST,S DAK ST,62.4,,
104700,Joey Lombard,C,0,2025,2025,291,,54.6,78.8,,51.3,76,0,1,0,32,0,0,22,54,32,22,S DAKOTA,S DAKOTA,67.1,,
104837,Travis Theis,HB,0,,2025,291,75,85.7,77.1,90.7,67.8,05,0,1,0,2,19,14,5,40,21,19,S DAKOTA,S DAKOTA,71.9,,78.2
104995,Carter Bell,WR,0,,2025,291,70.3,66.4,77.4,66.4,55.3,14,0,1,0,0,28,0,15,43,28,15,S DAKOTA,S DAKOTA,,,
106691,Logan Hofstedt,TE,0,,2025,250,,60,63.5,,60,33,0,1,0,0,0,0,1,1,0,1,N DAK ST,N DAK ST,,,
108890,Hunter Poncius,T,0,,2025,250,,62.2,79.3,,58.9,76,0,1,0,26,0,0,30,56,26,30,N DAK ST,N DAK ST,77.9,,
109500,Braylon Henderson,WR,0,,2025,250,,52.3,75.9,52.6,61.3,01,0,1,0,0,16,0,7,23,16,7,N DAK ST,N DAK ST,,,
122484,Ryan King,WR,0,,2026,233,,54,75.4,53.6,62.8,09,0,1,0,0,11,0,14,25,11,14,MONTANA ST,MONTANA ST,,,
122508,Aidan Bouman,QB,0,,2026,291,68.9,77,76.1,,60.1,02,0,1,32,0,0,3,19,54,32,22,S DAKOTA,S DAKOTA,,76.4,60
125298,TK Marshall,HB,0,,2025,250,69.2,64.4,70.8,82.4,67.9,28,0,1,0,0,5,2,3,10,5,5,N DAK ST,N DAK ST,,,55.6
125299,Cam Miller,QB,0,2025,2025,250,72.6,90.2,76.1,,60,07,0,1,26,0,0,10,20,56,26,30,N DAK ST,N DAK ST,,85.7,74.8
125300,Mason Miller,T,0,2025,2025,250,,74.6,76,,72.5,73,0,1,0,26,0,0,30,56,26,30,N DAK ST,N DAK ST,72.4,,
125301,RaJa Nelson,WR,0,,2026,250,62.9,60.2,74,60.5,56.1,03,0,1,0,0,17,0,5,22,17,5,N DAK ST,N DAK ST,,,
125309,Joe Stoffel,TE,0,,2025,250,,46.1,0,49.2,57.6,82,1,1,0,2,15,0,27,44,17,27,N DAK ST,N DAK ST,67.9,,
125310,Tyler Terhark,WR,0,,2025,250,,60.5,71,,60.6,06,0,1,0,0,0,0,6,6,0,6,N DAK ST,N DAK ST,,,
