playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesKickReturn,gradesFgepKicker,gradesKickoffKicker,gradesPuntReturn,gradesLongSnap,gradesPunter
155294,Simeon Woodard,CB,0,0,,2025,233,60,62,66.2,D09,0,0,1,0,3,0,0,0,3,0,MONTANA ST,MONTANA ST,6,,,,,,,
155538,Neil Daily,LB,0,0,,2027,233,60,59.8,69.3,D19,0,0,1,0,3,0,0,0,3,0,MONTANA ST,MONTANA ST,6,,,,,,,
155951,Dru Polidore Jr.,S,0,0,,2026,233,59.8,60.3,62.9,D02,0,0,1,0,5,1,0,0,0,0,MONTANA ST,MONTANA ST,6,,,,,,,
159125,Rohan Jones,TE,0,0,2026,2026,233,,60,66.5,08,0,0,1,0,0,0,0,0,1,0,MONTANA ST,MONTANA ST,1,,,,,,,
162189,Jaquise Alexander,CB,0,0,,2027,250,60,60.8,66.8,D18,0,0,1,0,2,0,0,0,2,0,N DAK ST,N DAK ST,4,,,,,,,
162190,Austin Altepeter,LB,0,0,,2027,250,,60.1,65.6,D32,0,0,1,0,0,0,0,1,1,0,N DAK ST,N DAK ST,2,,,,,,,
162191,Toby Anene,ED,0,0,,2027,250,60.1,60.6,64.8,D93,0,0,1,0,2,0,0,0,1,0,N DAK ST,N DAK ST,3,,,,,,,
162192,Hudson Artz,S,0,0,,2028,250,,58.9,67.8,D22,0,0,1,0,0,6,5,0,0,0,N DAK ST,N DAK ST,11,,,,,,,
162194,Caleb Bowers,LS,0,0,,2027,250,,65.4,63.5,S48,0,0,1,5,0,0,0,4,0,0,N DAK ST,N DAK ST,9,61.6,,,,,80,
162198,Mekhi Collins,WR,0,0,,2028,250,,59.6,65,15,0,0,1,0,0,0,5,0,0,0,N DAK ST,N DAK ST,5,,,,,,,
162201,Darius Givance,S,0,0,,2028,250,59.6,65.7,65.6,D29,0,0,1,0,2,3,0,4,1,1,N DAK ST,N DAK ST,10,,,,,,,
162211,Luke Kokat,TE,0,0,,2028,250,,31.1,25.1,44,0,1,1,0,0,0,6,0,0,0,N DAK ST,N DAK ST,6,,,,,,,
162212,Logan Larson,DI,0,0,,2028,250,,60.3,63.8,D94,0,0,1,0,0,0,0,4,0,0,N DAK ST,N DAK ST,4,,,,,,,
162214,Josh Magin,T,0,0,,2028,250,,61,62.9,75,0,0,1,5,0,0,0,0,0,0,N DAK ST,N DAK ST,5,60,,,,,,
162223,Kaden Zenzen,TE,1,0,,2028,250,,64.8,64.5,40,0,0,1,0,0,6,0,0,0,0,N DAK ST,N DAK ST,6,,,,,,,
164387,Taco Dowler,WR,0,0,,2027,233,,60.2,65.5,14,0,0,1,0,0,1,0,1,3,0,MONTANA ST,MONTANA ST,5,,,,,62.2,,
164393,Burke Mastel,G,0,0,,2027,233,,60.8,62.7,64,0,0,1,4,0,0,0,0,0,0,MONTANA ST,MONTANA ST,4,60,,,,,,
164396,Max Murphy,TE,0,0,,2027,233,,67.5,91.3,48,0,0,1,0,0,5,6,0,3,0,MONTANA ST,MONTANA ST,14,,,,,,,
164397,Tommy Nilson,G,0,0,,2027,233,,61.4,66.3,60,0,0,1,4,0,0,0,0,0,0,MONTANA ST,MONTANA ST,4,60,,,,,,
164401,Rylan Schlepp,TE,0,0,,2027,233,,60.8,66.3,88,0,0,1,4,0,0,6,0,0,0,MONTANA ST,MONTANA ST,10,60,,,,,,
164405,Jared White,HB,0,0,,2027,233,,60,66,03,0,0,1,0,0,1,6,0,0,0,MONTANA ST,MONTANA ST,7,,,,,,,
170697,Zac Crews,ED,0,0,,2027,233,,61.6,66.1,D36,0,0,1,0,0,1,0,2,3,0,MONTANA ST,MONTANA ST,6,,,,,,,
170699,Jon Johnson,CB,0,0,,2026,233,60,62.8,71.2,D04,0,0,1,0,2,0,0,0,4,0,MONTANA ST,MONTANA ST,6,,,,,,,
170701,Myles Sansted,K,0,0,,2027,233,,60,63.3,S39,0,0,1,4,0,0,0,0,0,0,MONTANA ST,MONTANA ST,4,,,64.7,,,,
170706,Taki Uluilakepa,S,0,0,,2028,233,,60.7,70,D17,0,0,1,0,0,5,6,0,3,0,MONTANA ST,MONTANA ST,14,,,,,,,
170707,Zac Waible,LB,0,0,,2027,233,,46.9,66.2,D49,1,0,1,0,0,5,0,0,0,0,MONTANA ST,MONTANA ST,5,,,,,,,
174410,Jaylin Crumby,S,0,0,,2029,250,60,62,66,D04,0,0,1,0,2,6,0,0,0,0,N DAK ST,N DAK ST,8,,,,,,,
174413,Marcus Gulley,LB,0,0,,2025,250,59.9,62,68.5,D00,0,0,1,0,4,6,6,0,1,0,N DAK ST,N DAK ST,17,,,,,,,
174425,Eli Ozick,K,0,0,,2028,250,,60,68.9,S38,0,0,1,0,0,6,0,0,0,0,N DAK ST,N DAK ST,6,,,,74.9,,,
174431,Noah Taylor,CB,0,0,,2029,250,,65.8,66.3,D21,0,0,1,0,0,6,6,0,0,1,N DAK ST,N DAK ST,12,,,,,,,
176760,Everett Carr,T,0,0,,2028,233,,61.2,67.2,57,0,0,1,4,0,0,0,0,0,0,MONTANA ST,MONTANA ST,4,60,,,,,,
176762,Colson Coon,HB,0,0,,2028,233,,67.1,73.2,28,0,0,1,0,0,6,6,2,0,1,MONTANA ST,MONTANA ST,14,,,,,,,
176763,JJ Dolan,S,0,0,,2028,233,,61.4,68.5,D29,0,0,1,0,0,5,0,0,0,0,MONTANA ST,MONTANA ST,5,,,,,,,
176764,Patrick Duchien,QB,0,0,,2028,233,,60.3,60.5,15,0,0,1,4,0,0,0,0,0,0,MONTANA ST,MONTANA ST,4,60,,,,,,
176765,Tayden Gray,CB,0,0,,2028,233,60,60.6,70,D07,0,0,1,0,1,5,6,2,3,0,MONTANA ST,MONTANA ST,17,,,,,,,
176766,Bryce Grebe,LB,0,0,,2028,233,60.1,60.4,65.8,D10,0,0,1,0,2,0,6,0,1,0,MONTANA ST,MONTANA ST,9,,,,,,,
176768,Cedric Jefferson,T,0,0,,2029,233,,60.6,61.7,73,0,0,1,4,0,0,0,0,0,0,MONTANA ST,MONTANA ST,4,60,,,,,,
176769,Adam Jones,HB,0,0,,2028,233,,60,62.3,23,0,0,1,0,0,0,6,0,0,0,MONTANA ST,MONTANA ST,6,,61.7,,,,,
176774,Colter Petre,S,0,0,,2028,233,,60.5,69,D24,0,0,1,0,0,5,0,2,0,0,MONTANA ST,MONTANA ST,7,,,,,,,
176775,Andrew Powdrell,CB,0,0,,2028,233,59.9,62.2,67.9,D01,0,0,1,0,5,1,0,1,4,0,MONTANA ST,MONTANA ST,11,,,,,,,
176776,Hunter Provience,TE,0,0,,2028,233,,60,62.1,86,0,0,1,0,0,1,0,0,0,0,MONTANA ST,MONTANA ST,1,,,,,,,
176779,Cole Taylor,LB,0,0,,2028,233,,60.6,67.6,D34,0,0,1,0,0,0,6,2,3,0,MONTANA ST,MONTANA ST,11,,,,,,,
185543,Donovan Woolen,CB,0,0,,2029,250,,60.3,68.2,D51,0,0,1,0,0,1,0,0,1,0,N DAK ST,N DAK ST,2,,,,,,,
191486,Dane Steel,WR,0,0,,2029,233,,60.4,66,35,0,0,1,0,0,5,6,0,0,0,MONTANA ST,MONTANA ST,11,,,,,,,
191984,Logan Conklin,WR,0,0,,2030,250,,60.9,61.9,84,0,0,1,5,0,0,0,0,0,0,N DAK ST,N DAK ST,5,60,,,,,,
