playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesPuntReturn,gradesKickReturn,gradesLongSnap,gradesFgepKicker,gradesKickoffKicker,gradesPunter
147252,Damien Taylor,HB,0,0,,2026,226,62.8,67.5,12,0,0,1,0,0,7,6,0,2,0,OLE MISS,OLE MISS,15,,,,,,,,
147370,Keelan Marion,WR,0,0,2026,2026,220,60.1,62.4,00,0,0,1,0,0,0,7,0,0,0,MIAMI FL,MIAMI FL,7,,,,57.1,,,,
147475,Logan Diggs,HB,0,0,,2026,226,60.3,66.3,22,0,0,1,0,0,2,6,0,0,0,OLE MISS,OLE MISS,8,,,,,,,,
155544,Atticus Sappington,K,0,0,,2026,264,60,67,S36,0,0,1,3,0,4,0,0,0,0,OREGON,OREGON,7,,,,,,59.2,71.5,
156243,TJ Dottery,LB,0,0,,2027,226,60.7,63.4,D06,0,0,1,0,6,0,0,0,1,0,OLE MISS,OLE MISS,7,60,,,,,,,
156333,Nick Kelly,S,0,0,,2027,220,61.6,69,D36,0,0,1,0,0,6,0,0,0,0,MIAMI FL,MIAMI FL,6,,,,,,,,
156341,Wesley Bissainthe,LB,0,0,2026,2026,220,60.8,63.8,D31,0,0,1,0,4,0,0,3,3,0,MIAMI FL,MIAMI FL,10,60,,,,,,,
156360,Ryland Gandy,CB,0,0,,2027,190,55,71.7,D10,1,0,1,0,1,8,0,3,3,0,INDIANA,INDIANA,15,60,,,,,,,
156399,Carter Smith,T,0,0,,2027,190,62.1,69.1,65,0,0,1,8,0,0,0,0,0,0,INDIANA,INDIANA,8,,62.1,,,,,,
156401,Bray Lynch,G,0,0,,2027,190,62.2,62.4,74,0,0,1,8,0,0,0,0,0,0,INDIANA,INDIANA,8,,64,,,,,,
156405,Kaiden Turner,LB,0,0,,2027,190,67.9,68.6,D14,0,0,1,0,1,0,0,0,3,0,INDIANA,INDIANA,4,60,,,,,,,
156408,Jamari Sharpe,CB,0,0,,2027,190,60,64.5,D22,0,0,1,0,2,0,0,0,0,0,INDIANA,INDIANA,2,60,,,,,,,
156409,Isaiah Jones,LB,0,0,,2027,190,61.3,68.1,D46,0,0,1,0,3,9,0,3,0,0,INDIANA,INDIANA,15,59.9,,,,,,,
156415,Louis Moore,S,0,0,2026,2026,190,60.6,63.1,D07,0,0,1,0,3,3,0,0,0,0,INDIANA,INDIANA,6,60,,,,,,,
156725,Aiden Fisher,LB,0,0,2026,2026,190,59.5,64.6,D04,0,0,1,0,2,0,0,3,0,0,INDIANA,INDIANA,5,59.9,,,,,,,
156729,Tyrique Tucker,DI,0,0,,2027,190,60,62.7,D95,0,0,1,0,1,0,0,0,0,0,INDIANA,INDIANA,1,59.8,,,,,,,
156940,Jonathan Brady,WR,0,0,2026,2026,190,60,63.6,00,0,0,1,0,0,0,0,0,3,0,INDIANA,INDIANA,3,,,62.2,,,,,
156971,Holden Staes,TE,0,0,,2026,190,60.1,66,19,0,0,1,0,0,0,4,0,0,0,INDIANA,INDIANA,4,,,,,,,,
