playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesLongSnap,gradesPuntReturn,gradesPunter,gradesFgepKicker,gradesKickReturn,gradesKickoffKicker
165751,Andre Dennis,WR,0,0,,2026,270,,60,64.3,10,0,0,1,0,0,0,0,0,7,0,PRVIEW A&M,PRVIEW A&M,7,,,63.3,,,,
167075,Dazerick Patton,S,0,0,,2026,194,,61.1,70.3,D48,0,0,1,0,0,5,6,7,1,0,JACKSON ST,JACKSON ST,19,,,,,,,
172736,John Brown Jr.,ED,0,0,,2026,194,59.5,59.6,63.4,D08,0,0,1,0,4,0,0,0,0,0,JACKSON ST,JACKSON ST,4,,,,,,,
172757,Jadden Matthews,LB,0,0,,2026,270,,61,67,D31,0,0,1,0,0,0,0,0,5,0,PRVIEW A&M,PRVIEW A&M,5,,,,,,,
172875,B.J. Washington,S,0,0,,2027,194,60.2,60.4,63.2,D09,0,0,1,0,6,0,0,0,1,0,JACKSON ST,JACKSON ST,7,,,,,,,
172883,Stanley Cooks II,DI,0,0,,2028,194,,60.2,64.3,D94,0,0,1,0,0,0,0,7,0,0,JACKSON ST,JACKSON ST,7,,,,,,,
172885,Quaveon Davis,T,0,0,,2028,194,,61.2,67.2,79,0,0,1,4,0,0,0,0,0,0,JACKSON ST,JACKSON ST,4,60,,,,,,
172912,Jace Ward,ED,0,0,,2029,194,,60.7,64.2,D16,0,0,1,0,0,0,0,3,1,0,JACKSON ST,JACKSON ST,4,,,,,,,
172913,Dequarious White,G,0,0,,2028,194,,61.4,62,69,0,0,1,4,0,0,0,0,0,0,JACKSON ST,JACKSON ST,4,60,,,,,,
173037,Ja'koby Banks,WR,0,0,,2028,270,,61.8,69.2,01,0,0,1,0,0,0,0,1,5,0,PRVIEW A&M,PRVIEW A&M,6,,,,,,,
173118,Kam Sallis,S,0,0,,2028,194,59.9,60.5,63.1,D15,0,0,1,0,6,0,0,0,1,0,JACKSON ST,JACKSON ST,7,,,,,,,
173210,Matthew Moore,LB,0,0,,2029,270,,59.8,64.2,D39,0,0,1,0,0,0,0,2,0,0,PRVIEW A&M,PRVIEW A&M,2,,,,,,,
173247,Ashton Ojiaku,S,0,0,,2029,270,,31.8,25.5,D22,0,1,1,0,0,0,0,0,5,0,PRVIEW A&M,PRVIEW A&M,5,,,,,,,
176895,Cornelius Davis Jr.,S,0,0,,2028,270,,67.6,71.1,D30,0,0,1,0,0,6,5,0,6,2,PRVIEW A&M,PRVIEW A&M,17,,,,,,,
177974,Levi Wyatt,CB,0,0,,2026,194,60,60.1,64.6,D02,0,0,1,0,2,0,0,0,0,0,JACKSON ST,JACKSON ST,2,,,,,,,
178045,J'Cori Hargon,LB,0,0,,2027,194,59.9,69,67.9,D32,0,0,1,0,2,5,0,0,2,1,JACKSON ST,JACKSON ST,9,,,,,,,
178633,Caden Bowers,G,0,0,,2028,270,,61.9,62.2,72,0,0,1,6,0,0,0,0,0,0,PRVIEW A&M,PRVIEW A&M,6,62,,,,,,
178643,Jayven Jackson,LB,0,0,,2028,270,,68.3,64.4,D45,0,0,1,0,0,4,0,0,0,1,PRVIEW A&M,PRVIEW A&M,4,,,,,,,
178653,Jahiem O'Hara,ED,0,0,,2029,270,,60.2,70.9,D98,0,0,1,0,0,0,0,0,5,0,PRVIEW A&M,PRVIEW A&M,5,,,,,,,
181171,Travor Randle,S,1,0,,2026,270,59.5,60,26.7,D04,0,1,1,0,4,6,0,0,1,1,PRVIEW A&M,PRVIEW A&M,11,,,,,,,
181176,Jaylan Ware,DI,0,0,,2026,194,59.3,59.7,66.6,D14,0,0,1,0,2,0,6,0,2,0,JACKSON ST,JACKSON ST,10,,,,,,,
184214,Elijah Wilson,S,0,0,,2028,270,,61.9,69.5,D46,0,0,1,0,0,6,5,0,0,0,PRVIEW A&M,PRVIEW A&M,11,,,,,,,
185229,Ace Meadows,T,0,0,,2029,194,,60.8,62.7,55,0,0,1,4,0,0,0,0,0,0,JACKSON ST,JACKSON ST,4,60,,,,,,
186116,Jaylin Acker,S,1,0,,2027,194,,67.8,66.6,D47,0,0,1,0,0,5,0,0,0,0,JACKSON ST,JACKSON ST,5,,,,,,,
186117,Nate Blount IV,HB,0,0,,2029,194,,60.8,68.6,22,0,0,1,0,0,0,6,0,0,0,JACKSON ST,JACKSON ST,6,,,,,,,
186118,Kazarius Bowie,DI,0,0,,2027,194,59.1,59.7,65.8,D95,0,0,1,0,3,0,0,7,1,0,JACKSON ST,JACKSON ST,11,,,,,,,
186121,Reid Pulliam,LB,0,0,,2027,194,59.9,60,62.7,D07,0,0,1,0,4,0,0,0,0,0,JACKSON ST,JACKSON ST,4,,,,,,,
186125,Tymon Wells,DI,0,0,,2027,194,58.9,59.3,63.9,D50,0,0,1,0,3,0,0,4,0,0,JACKSON ST,JACKSON ST,7,,,,,,,
187938,Kennedy Parker,LB,0,0,,2026,270,59.1,59.7,65,D07,0,0,1,0,4,0,0,0,2,0,PRVIEW A&M,PRVIEW A&M,6,,,,,,,
188327,Aiden Webb,K,0,0,,2030,270,,60.6,60.6,S47,0,0,1,6,0,0,0,0,0,0,PRVIEW A&M,PRVIEW A&M,6,60,,,,,,
188614,Mason Barton,T,0,0,,2029,194,,60.8,61.3,65,0,0,1,4,0,0,0,0,0,0,JACKSON ST,JACKSON ST,4,60,,,,,,
188616,Cyson Burk,T,0,0,,2029,194,,61.1,67.8,61,0,0,1,4,0,0,0,0,0,0,JACKSON ST,JACKSON ST,4,60,,,,,,
188617,KJ Chisholm Jr.,CB,0,0,,2029,194,59.7,60.4,66.5,D17,0,0,1,0,6,0,0,0,1,0,JACKSON ST,JACKSON ST,7,,,,,,,
188626,Travis Terrell Jr.,HB,0,0,,2029,194,,59.4,63,00,0,0,1,0,0,0,6,0,2,0,JACKSON ST,JACKSON ST,8,,,61.9,,,59.9,
188628,Brian Williams Jr.,G,0,0,,2029,194,,61.4,66.3,56,0,0,1,4,0,0,0,0,0,0,JACKSON ST,JACKSON ST,4,60,,,,,,
188814,Malik Gucake,ED,0,0,,2028,270,59.1,59.4,65,D06,0,0,1,0,2,0,0,2,2,0,PRVIEW A&M,PRVIEW A&M,6,,,,,,,
189284,Ethan John,TE,0,0,,2028,270,,61.3,65.2,05,0,0,1,6,0,2,5,1,0,0,PRVIEW A&M,PRVIEW A&M,14,60,,,,,,
191232,Vernorrius Chaney,CB,0,0,,2027,194,,60.3,68.7,D21,0,0,1,0,0,5,0,7,1,0,JACKSON ST,JACKSON ST,13,,,,,,,
192382,Eric Zachery,CB,0,0,,2029,270,60,61,67.4,D12,0,0,1,0,4,0,0,0,2,0,PRVIEW A&M,PRVIEW A&M,6,,,,,,,
197061,Josh Higgins,S,0,0,,2026,194,,61.2,64.3,D26,0,0,1,0,0,5,0,0,0,0,JACKSON ST,JACKSON ST,5,,,,,,,
201202,Keith Bass Jr.,LB,0,0,,2030,194,,61.2,67.7,D28,0,0,1,0,0,5,6,0,0,0,JACKSON ST,JACKSON ST,11,,,,,,,
201204,Kam Evans,LB,0,0,,2030,194,,61.7,64.2,D29,0,0,1,0,0,5,0,0,0,0,JACKSON ST,JACKSON ST,5,,,,,,,
201208,Jabari Jones,WR,0,0,,2030,194,,60.7,66.6,13,0,0,1,0,0,0,6,0,0,0,JACKSON ST,JACKSON ST,6,,,,,,59.9,
201209,Chris Levy,LS,0,0,,2030,194,,56,63.9,S43,0,0,1,0,0,0,0,7,0,0,JACKSON ST,JACKSON ST,7,,43.7,,,,,
201211,Kenzavius Lundy,ED,0,0,,2030,194,,54.5,27.3,D25,0,1,1,0,0,5,6,0,1,0,JACKSON ST,JACKSON ST,12,,,,,,,
201212,Simon Naylor,K,0,0,,2029,194,,60,67.8,S36,0,0,1,0,0,4,0,0,0,0,JACKSON ST,JACKSON ST,4,,,,,,,52.9
202961,Trinity Ward,S,0,0,,2026,270,59.8,61.2,65.9,D35,0,0,1,0,4,0,0,0,2,0,PRVIEW A&M,PRVIEW A&M,6,,,,,,,
202962,Drew Skartvedt,LS,0,0,,2028,270,,60.4,62.7,S41,0,0,1,6,0,0,0,2,0,0,PRVIEW A&M,PRVIEW A&M,8,63.4,55.1,,,,,
202965,Adam Atwell,P,0,0,,2026,270,,60,65.4,S48,0,0,1,0,0,0,0,2,0,0,PRVIEW A&M,PRVIEW A&M,2,,,,61,,,
202969,Ty Brown,G,0,0,,2029,270,,61.6,67.2,74,0,0,1,6,0,0,0,0,0,0,PRVIEW A&M,PRVIEW A&M,6,60,,,,,,
202970,Skylon Jean-Louis,S,0,0,,2027,270,,62.5,67.7,D37,0,0,1,0,0,0,0,0,5,0,PRVIEW A&M,PRVIEW A&M,5,,,,,,,
202971,Danarius Hollywood,CB,0,0,,2026,270,59.9,62.5,69.7,D28,0,0,1,0,1,6,0,2,7,0,PRVIEW A&M,PRVIEW A&M,16,,,,,,,
202979,Jaylon Shelton,CB,0,0,,2026,270,59.9,60.8,65.4,D27,0,0,1,0,3,6,5,0,0,0,PRVIEW A&M,PRVIEW A&M,14,,,,,,,
202985,Diego Alfaro,K,0,0,,2029,270,,60.3,67.9,S86,0,0,1,5,0,6,0,0,0,0,PRVIEW A&M,PRVIEW A&M,11,,,,,70.5,,55.6
209722,Kye Collins,P,0,0,,2028,194,,61,67.3,S39,0,0,1,4,0,0,0,7,0,0,JACKSON ST,JACKSON ST,11,60,,,62.8,,,
