playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPass,gradesRun,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesPassRoute
162699,Brian Parker II,T,0,2026,2026,154,,54.5,0,,,55.1,53,2,1,0,30,0,0,39,69,30,39,DUKE,DUKE,83,
162702,Jake Taylor,TE,0,,2027,154,,57.3,68.9,,,59.6,15,0,1,0,0,2,0,5,7,2,5,DUKE,DUKE,,56.9
162704,Wesley Williams,ED,0,2026,2026,154,,60,60,,,60,D97,0,1,0,0,0,0,1,1,0,1,DUKE,DUKE,,
162705,George Wright,CB,0,,2026,154,,60,65,,,60,D32,0,1,0,0,0,0,1,1,0,1,DUKE,DUKE,,
162735,Isaiah Horton,WR,0,,2027,103,61,51.9,77.5,,,61,01,0,1,0,0,34,0,9,43,34,9,ALABAMA,ALABAMA,,52.1
162815,Andrew Gentry,T,0,,2027,128,,71,75.4,,,73.6,75,0,1,0,28,0,0,18,46,28,18,BYU,BYU,59.2,
162858,David Adolph,WR,0,,2027,260,,60,64.8,,,60,82,0,1,0,0,0,0,1,1,0,1,OHIO STATE,OHIO STATE,,
162867,Carson Hinzman,C,0,,2027,260,,63.3,79,,,60.3,75,0,1,0,35,0,0,22,57,35,22,OHIO STATE,OHIO STATE,69.1,
162884,Max Klare,TE,0,2026,2026,260,62.9,55,77.2,,,46.4,86,0,1,0,4,23,0,8,35,27,8,OHIO STATE,OHIO STATE,76.3,57.9
162946,JaDarious Lee,T,0,,2027,200,,53,77.6,,,58.4,56,0,1,0,43,0,0,29,72,43,29,KENNESAW,KENNESAW,38.8,
163133,Trell Harris,WR,0,,2027,335,66.4,64.1,77.5,,,62.1,11,0,1,0,0,25,0,24,49,25,24,VIRGINIA,VIRGINIA,,63.6
163158,Jalen Buckley,HB,0,,2027,347,31,72.9,75.7,,73.1,57.1,06,0,1,0,5,11,19,11,46,16,30,W MICHIGAN,W MICHIGAN,76.4,58.8
163161,Will Gerig,ED,0,,2027,347,,60,60,,,60,D42,0,1,0,0,0,0,1,1,0,1,W MICHIGAN,W MICHIGAN,,
163251,Parker Kingston,WR,0,,2027,128,69.1,66.9,76.7,60.4,,56.3,11,0,1,1,0,26,0,20,47,27,20,BYU,BYU,,67.2
163253,Trevin Ostler,G,0,,2027,128,,62.4,70.1,,,61.5,95,0,1,0,0,0,0,9,9,0,9,BYU,BYU,,
163256,Bodie Schoonover,ED,0,,2027,128,,58.4,60,,,,D48,0,1,0,0,1,0,0,1,1,0,BYU,BYU,,55.3
163374,Roger Carreon,G,0,,2027,120,,67.1,78,,,73.9,62,0,1,0,25,0,0,25,50,25,25,BOISE ST,BOISE ST,26.6,
163379,Maddux Madsen,QB,0,,2027,120,70,83.2,77,77.5,75.7,60,04,0,1,34,0,0,3,33,70,34,36,BOISE ST,BOISE ST,,
163571,Tyler Cappi,C,0,,2027,318,,61.5,79.7,,,63.1,65,0,1,0,52,0,0,18,70,52,18,TROY,TROY,53.7,
