playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesKickReturn,gradesPuntReturn,gradesPunter,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap
174454,Keyondray Jones-Logan,WR,0,0,,2028,291,,,59.6,62.9,07,0,0,1,0,0,0,6,0,0,0,S DAKOTA,S DAKOTA,6,59.4,,,,,
174537,Dontay Bishop,TE,0,0,,2028,274,,60,60.5,65.1,98,0,0,1,2,0,0,4,8,0,0,RHODE ISLD,RHODE ISLD,14,,,,,,
174539,Freddie Camp,S,0,0,,2028,274,,,64,69.1,D34,0,0,1,0,0,0,0,0,9,0,RHODE ISLD,RHODE ISLD,9,,,,,,
174542,D.J. Cureton,S,0,0,,2028,274,59.9,,60.7,63.9,D19,0,0,1,0,1,2,0,0,0,0,RHODE ISLD,RHODE ISLD,3,,,,,,
174545,Mitchell Garner,ED,0,0,,2028,274,,,60.7,66.6,D44,0,0,1,0,0,2,4,0,0,0,RHODE ISLD,RHODE ISLD,6,,,,,,
174546,Ty Groff,P,0,0,,2028,274,,,60,62.5,S45,0,0,1,2,0,0,0,0,0,0,RHODE ISLD,RHODE ISLD,2,,,,60,,
174549,Will Johnson,K,0,0,,2028,274,,,60,66,S46,0,0,1,0,0,2,0,0,0,0,RHODE ISLD,RHODE ISLD,2,,,,,58.3,
174550,Case Mankins,DI,0,0,,2028,274,59.8,,59.9,63.2,D97,0,0,1,0,3,0,0,0,0,0,RHODE ISLD,RHODE ISLD,3,,,,,,
174551,Ethan McCann-Carter,CB,0,0,,2028,274,,,61.6,71.3,D35,0,0,1,0,0,2,0,6,9,0,RHODE ISLD,RHODE ISLD,17,,,,,,
174553,Moses Meus,LB,0,0,,2028,274,,,72.1,69.8,D53,0,0,1,0,0,2,4,8,9,1,RHODE ISLD,RHODE ISLD,23,,,,,,
174554,Kamalie Pemberton,S,0,0,,2027,274,,,65.7,68.9,D28,0,0,1,0,0,2,4,8,9,1,RHODE ISLD,RHODE ISLD,23,,,,,,
