playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPass,gradesPassRoute,gradesRun,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock
147570,Josh Cuevas,TE,0,2026,2026,103,64.1,54.9,74.9,,55.5,,53.8,80,0,1,0,2,19,0,7,28,21,7,ALABAMA,ALABAMA,68
148387,Xavier Holmes,ED,0,2026,2026,197,,60,71.8,,,,60,D09,0,1,0,0,0,0,1,1,0,1,JAMES MAD,JAMES MAD,
149111,Tre Shackelford,WR,0,,2026,319,61,71.5,71,,69.7,,59.6,11,0,1,0,0,4,0,4,8,4,4,TULANE,TULANE,
149418,Jordan Fuller,HB,0,,2026,197,,60,60,,,,60,23,0,1,0,0,0,0,1,1,0,1,JAMES MAD,JAMES MAD,
149421,Curtis Harris-Lopez,S,0,,2026,197,65.6,60,60,,,,60,D21,0,1,0,0,0,0,1,1,0,1,JAMES MAD,JAMES MAD,
151198,Derek Simmons,T,0,,2026,261,,67.2,77.1,,,,61.1,66,0,1,0,52,0,0,24,76,52,24,OKLAHOMA,OKLAHOMA,73.1
155544,Atticus Sappington,K,0,,2026,264,,59,64.8,,60,,,S36,0,1,0,0,1,0,0,1,1,0,OREGON,OREGON,
156329,Maurice Turner,HB,0,,2027,319,62.5,56.5,71.1,,55.6,58.2,,00,0,1,0,0,9,1,0,10,9,1,TULANE,TULANE,
156351,George Pettaway,HB,0,,2027,197,65.3,69,66.8,,91.2,60,,06,0,1,0,0,2,1,0,3,2,1,JAMES MAD,JAMES MAD,
156520,Omari Hayes,WR,0,,2027,319,69.1,66,76.1,60,66.7,,54.9,01,0,1,1,0,23,0,11,35,24,11,TULANE,TULANE,
156583,Patrick Rea,P,0,,2027,197,,60,70.3,,,,60,S11,0,1,0,0,0,0,1,1,0,1,JAMES MAD,JAMES MAD,
156708,Jayden Mines,WR,0,,2027,197,,60,60,,,,60,02,0,1,0,0,0,0,1,1,0,1,JAMES MAD,JAMES MAD,
156710,Alonza Barnett III,QB,0,,2027,197,47.9,58.8,78.5,56.4,47.6,62.5,61.4,14,0,1,59,0,3,8,22,92,62,30,JAMES MAD,JAMES MAD,
156712,Wayne Knight,HB,0,,2028,197,76.5,59.8,77.7,,48.4,64,55.7,03,0,1,0,15,34,19,5,73,49,24,JAMES MAD,JAMES MAD,75.1
156714,Carter Sweazie,G,0,,2028,197,,64,81,,,,67.5,52,0,1,0,57,0,0,28,85,57,28,JAMES MAD,JAMES MAD,49
156717,Jo Simmons,T,0,,2028,197,,49.9,0,,,,47.8,79,2,1,0,62,0,0,30,92,62,30,JAMES MAD,JAMES MAD,71.2
156722,Jacob Thomas,S,1,2026,2026,197,,60,60,,,,60,D07,2,1,0,0,0,0,1,1,0,1,JAMES MAD,JAMES MAD,
156974,Aiden Gobaira,ED,0,,2028,197,,60,71.8,,,,60,D97,0,1,0,0,0,0,1,1,0,1,JAMES MAD,JAMES MAD,
157003,Jam Miller,HB,0,2026,2026,103,19.3,47.2,73.4,,55.5,49.1,,26,0,1,0,4,7,7,0,18,11,7,ALABAMA,ALABAMA,54.8
157008,Ty Simpson,QB,0,2026,2026,103,70.1,84.5,76,83.5,,63.9,60,15,0,1,35,0,0,3,17,55,35,20,ALABAMA,ALABAMA,
157053,Micah Riley,TE,0,,2027,312,,47.1,72.6,,56.9,,48.1,88,0,1,0,3,2,0,6,11,5,6,TEXAS A&M,TEXAS A&M,50.7
157204,James Ferguson-Reynolds,P,0,,2026,264,,36,64.1,,60,,,S46,0,1,0,0,1,0,0,1,1,0,OREGON,OREGON,
157645,Dae'Quan Wright,TE,0,2026,2026,226,65,81.9,76.9,,85.6,,52.9,08,0,1,0,7,19,0,11,37,26,11,OLE MISS,OLE MISS,69.4
157695,Alex Harkey,T,0,2026,2026,264,,66.5,76,,,,61.5,71,0,1,0,29,0,0,27,56,29,27,OREGON,OREGON,75.7
158070,Jaren Kanak,TE,0,2026,2026,261,65,49.9,78.2,,50.1,,50.3,12,0,1,0,4,38,0,17,59,42,17,OKLAHOMA,OKLAHOMA,73
158072,Kaden Helms,TE,0,,2027,261,,65.4,74.4,,52.2,,78.3,18,0,1,0,2,8,0,7,17,10,7,OKLAHOMA,OKLAHOMA,70.7
158252,Isaiah World,T,0,2026,2026,264,,67.6,9.1,,,,65.4,76,1,1,0,29,0,0,27,56,29,27,OREGON,OREGON,87.1
158374,Germie Bernard,WR,0,2026,2026,103,66,59.9,77.3,,60.6,59.6,55.4,05,0,1,0,0,33,1,19,53,33,20,ALABAMA,ALABAMA,
